Student [studentID=28, name=Justin Conrad, courseName=COMPSCI 310, grade=99]
Student [studentID=37, name=Simone Scott, courseName=COMPSCI 312, grade=91]
Student [studentID=91, name=Donald Schultz, courseName=COMPSCI 321, grade=87]
Student [studentID=19, name=Blair Heaton, courseName=COMPSCI 309, grade=87]
Student [studentID=79, name=Kerys John, courseName=COMPSCI 319, grade=87]
Student [studentID=64, name=Jameson Best, courseName=COMPSCI 316, grade=86]
Student [studentID=73, name=Alys Mccormick, courseName=COMPSCI 318, grade=85]
Student [studentID=97, name=Angus Navarro, courseName=COMPSCI 322, grade=85]
Student [studentID=88, name=Kwame Mckenzie, courseName=COMPSCI 320, grade=83]
Student [studentID=16, name=Allan Povey, courseName=COMPSCI 308, grade=83]
Student [studentID=61, name=Antoine Cummings, courseName=COMPSCI 316, grade=83]
Student [studentID=25, name=Angelina Shepard, courseName=COMPSCI 310, grade=82]
Student [studentID=4, name=Elsie Medina, courseName=COMPSCI 306, grade=81]
Student [studentID=76, name=Simran Hahn, courseName=COMPSCI 318, grade=80]
Student [studentID=10, name=Darrell Newton, courseName=COMPSCI 307, grade=79]
Student [studentID=43, name=Priyanka Nieves, courseName=COMPSCI 313, grade=79]
Student [studentID=100, name=Simeon Rowley, courseName=COMPSCI 322, grade=78]
Student [studentID=52, name=Eloisa Serrano, courseName=COMPSCI 314, grade=76]
Student [studentID=34, name=Yassin Mcintyre, courseName=COMPSCI 311, grade=74]
Student [studentID=22, name=Joy Ayers, courseName=COMPSCI 309, grade=74]
Student [studentID=49, name=Ihsan Burt, courseName=COMPSCI 314, grade=74]
Student [studentID=94, name=Maiya Gallegos, courseName=COMPSCI 321, grade=73]
Student [studentID=70, name=Tegan Fox, courseName=COMPSCI 317, grade=72]
Student [studentID=67, name=Iqra Hodson, courseName=COMPSCI 317, grade=72]
Student [studentID=46, name=Mitchell Duran, courseName=COMPSCI 313, grade=71]
Student [studentID=85, name=Aamina Mclaughlin, courseName=COMPSCI 320, grade=69]
Student [studentID=55, name=Kelsey Ware, courseName=COMPSCI 315, grade=69]
Student [studentID=58, name=Arielle Pope, courseName=COMPSCI 315, grade=67]
Student [studentID=1, name=Sacha Rich, courseName=COMPSCI 306, grade=66]
Student [studentID=82, name=Braxton Colley, courseName=COMPSCI 319, grade=66]
Student [studentID=40, name=Elize Robin, courseName=COMPSCI 312, grade=65]
Student [studentID=7, name=Liyah Preece, courseName=COMPSCI 307, grade=63]
Student [studentID=31, name=Aryaan Coates, courseName=COMPSCI 311, grade=58]
Student [studentID=13, name=Luther Thornton, courseName=COMPSCI 308, grade=53]
