Student [studentID=15, name=Padraig Barry, courseName=STAT 236, grade=93]
Student [studentID=39, name=Zachariah Hutchinson, courseName=STAT 240, grade=92]
Student [studentID=33, name=Stewart Reed, courseName=STAT 239, grade=90]
Student [studentID=54, name=Franciszek Hartman, courseName=STAT 242, grade=90]
Student [studentID=6, name=Bodhi Stokes, courseName=STAT 234, grade=86]
Student [studentID=60, name=Sasha Prentice, courseName=STAT 243, grade=84]
Student [studentID=48, name=Saima Day, courseName=STAT 241, grade=84]
Student [studentID=21, name=Max Reeves, courseName=STAT 237, grade=84]
Student [studentID=42, name=Malia Avalos, courseName=STAT 240, grade=83]
Student [studentID=57, name=Tasmin O'Connor, courseName=STAT 243, grade=83]
Student [studentID=99, name=Tia Welch, courseName=STAT 250, grade=83]
Student [studentID=30, name=Najma Kline, courseName=STAT 238, grade=81]
Student [studentID=18, name=Lily-Anne Parsons, courseName=STAT 236, grade=81]
Student [studentID=12, name=Dakota O'Doherty, courseName=STAT 235, grade=79]
Student [studentID=3, name=Keiran Molloy, courseName=STAT 234, grade=74]
Student [studentID=36, name=Nabiha Villa, courseName=STAT 239, grade=74]
Student [studentID=75, name=Onur Shelton, courseName=STAT 246, grade=73]
Student [studentID=24, name=Melina Bouvet, courseName=STAT 237, grade=72]
Student [studentID=87, name=Amelia-Mae Meyer, courseName=STAT 248, grade=71]
Student [studentID=93, name=Finbar Pearce, courseName=STAT 249, grade=71]
Student [studentID=78, name=Tanisha Gillespie, courseName=STAT 246, grade=71]
Student [studentID=72, name=Hiba Cowan, courseName=STAT 245, grade=69]
Student [studentID=81, name=Ezekiel Pike, courseName=STAT 247, grade=67]
Student [studentID=63, name=Corey Mckee, courseName=STAT 244, grade=67]
Student [studentID=51, name=Faye Sharp, courseName=STAT 242, grade=66]
Student [studentID=66, name=Marley Galloway, courseName=STAT 244, grade=66]
Student [studentID=27, name=Giorgio Burgess, courseName=STAT 238, grade=65]
Student [studentID=90, name=Isaak Guzman, courseName=STAT 248, grade=63]
Student [studentID=9, name=Cerys Mill, courseName=STAT 235, grade=63]
Student [studentID=69, name=Micah Akhtar, courseName=STAT 245, grade=60]
Student [studentID=84, name=Clay Ritter, courseName=STAT 247, grade=58]
Student [studentID=45, name=Harriette Albert, courseName=STAT 241, grade=58]
Student [studentID=96, name=Amelia Mccullough, courseName=STAT 249, grade=56]
